timestamp,timeIntervalSince1970,latitude,longitude,altitude,horizontalAccuracy,verticalAccuracy,speed,course
"2020-06-16 18:05:02.000 +0000",1592330701.999739,42.108873,-75.954370,263.493008,5.000000,4.000000,2.860000,358.242188
"2020-06-16 18:05:03.000 +0000",1592330702.999727,42.108899,-75.954369,263.172817,5.000000,4.000000,2.900000,0.703125
"2020-06-16 18:05:04.000 +0000",1592330703.999715,42.108927,-75.954371,262.983974,5.000000,6.000000,2.930000,357.187500
"2020-06-16 18:05:05.000 +0000",1592330704.999703,42.108958,-75.954374,263.060940,5.000000,4.000000,2.930000,355.429688
"2020-06-16 18:05:06.000 +0000",1592330705.999691,42.108991,-75.954377,264.176174,5.000000,4.000000,3.180000,358.242188
"2020-06-16 18:05:07.000 +0000",1592330706.999680,42.109023,-75.954378,264.590664,5.000000,4.000000,3.180000,356.835938
"2020-06-16 18:05:08.000 +0000",1592330707.999668,42.109057,-75.954379,265.951565,5.000000,4.000000,2.960000,354.023438
"2020-06-16 18:05:09.000 +0000",1592330708.999657,42.109085,-75.954387,263.921047,5.000000,6.000000,2.960000,355.429688
"2020-06-16 18:05:10.000 +0000",1592330709.999646,42.109110,-75.954394,264.407314,5.000000,6.000000,2.960000,355.429688
"2020-06-16 18:05:11.000 +0000",1592330710.999634,42.109135,-75.954401,263.304043,5.000000,6.000000,2.930000,359.296875
"2020-06-16 18:05:12.000 +0000",1592330711.999623,42.109157,-75.954407,261.443142,5.000000,6.000000,2.860000,359.648438
"2020-06-16 18:05:13.000 +0000",1592330712.999612,42.109179,-75.954411,261.414822,5.000000,6.000000,2.850000,359.648438
"2020-06-16 18:05:14.000 +0000",1592330713.999601,42.109201,-75.954413,260.588772,5.000000,6.000000,2.850000,356.835938
"2020-06-16 18:05:15.000 +0000",1592330714.999590,42.109225,-75.954415,261.334377,5.000000,6.000000,2.850000,358.242188
"2020-06-16 18:05:16.000 +0000",1592330715.999579,42.109250,-75.954418,261.566677,5.000000,6.000000,2.850000,353.671875
"2020-06-16 18:05:17.000 +0000",1592330716.999568,42.109276,-75.954422,261.864773,5.000000,6.000000,2.880000,354.726562
"2020-06-16 18:05:18.000 +0000",1592330717.999557,42.109300,-75.954430,260.956875,5.000000,6.000000,2.780000,352.968750
"2020-06-16 18:05:19.000 +0000",1592330718.999546,42.109323,-75.954438,260.903835,5.000000,6.000000,2.780000,352.968750
"2020-06-16 18:05:20.000 +0000",1592330719.999536,42.109347,-75.954444,261.112087,5.000000,6.000000,2.780000,355.429688
"2020-06-16 18:05:21.000 +0000",1592330720.999524,42.109373,-75.954449,260.769558,5.000000,6.000000,2.780000,351.562500
"2020-06-16 18:05:22.000 +0000",1592330721.999514,42.109400,-75.954453,260.995083,5.000000,6.000000,2.620000,354.726562
"2020-06-16 18:05:23.000 +0000",1592330722.999502,42.109423,-75.954454,260.630581,5.000000,6.000000,2.400000,355.429688
"2020-06-16 18:05:23.999 +0000",1592330723.999492,42.109442,-75.954454,260.472988,5.000000,6.000000,2.400000,351.210938
"2020-06-16 18:05:24.999 +0000",1592330724.999481,42.109462,-75.954452,261.008327,5.000000,6.000000,2.300000,355.781250
"2020-06-16 18:05:25.999 +0000",1592330725.999471,42.109484,-75.954452,261.419033,5.000000,6.000000,2.300000,353.671875
"2020-06-16 18:05:26.999 +0000",1592330726.999460,42.109507,-75.954449,261.240871,5.000000,6.000000,2.400000,358.593750
"2020-06-16 18:05:27.999 +0000",1592330727.999450,42.109531,-75.954447,261.343349,5.000000,6.000000,2.520000,358.593750
"2020-06-16 18:05:28.999 +0000",1592330728.999440,42.109552,-75.954446,261.251125,5.000000,6.000000,2.520000,355.781250
"2020-06-16 18:05:29.999 +0000",1592330729.999428,42.109573,-75.954446,261.211452,5.000000,6.000000,2.400000,355.781250
"2020-06-16 18:05:30.999 +0000",1592330730.999418,42.109597,-75.954452,262.257046,5.000000,6.000000,2.400000,352.617188
"2020-06-16 18:05:31.999 +0000",1592330731.999407,42.109622,-75.954460,262.339687,5.000000,6.000000,2.650000,349.453125
"2020-06-16 18:05:32.999 +0000",1592330732.999396,42.109643,-75.954462,262.575893,5.000000,6.000000,2.050000,3.515625
"2020-06-16 18:05:33.999 +0000",1592330733.999387,42.109661,-75.954462,262.636929,5.000000,6.000000,2.050000,3.515625
"2020-06-16 18:05:34.999 +0000",1592330734.999376,42.109681,-75.954460,262.616726,5.000000,6.000000,2.050000,1.406250
"2020-06-16 18:05:35.999 +0000",1592330735.999365,42.109702,-75.954457,262.878078,5.000000,6.000000,2.260000,0.703125
"2020-06-16 18:05:36.999 +0000",1592330736.999355,42.109721,-75.954457,263.505337,5.000000,6.000000,2.260000,358.945312
"2020-06-16 18:05:37.999 +0000",1592330737.999344,42.109742,-75.954457,263.001308,5.000000,6.000000,2.250000,357.890625
"2020-06-16 18:05:38.999 +0000",1592330738.999334,42.109762,-75.954457,263.062160,5.000000,6.000000,2.250000,356.132812
"2020-06-16 18:05:39.999 +0000",1592330739.999324,42.109785,-75.954459,263.441555,5.000000,6.000000,2.250000,354.023438
"2020-06-16 18:05:40.999 +0000",1592330740.999314,42.109806,-75.954462,263.252956,5.000000,6.000000,2.280000,343.125000
"2020-06-16 18:05:41.999 +0000",1592330741.999303,42.109827,-75.954468,263.242031,5.000000,6.000000,2.510000,343.125000
"2020-06-16 18:05:42.999 +0000",1592330742.999293,42.109848,-75.954473,261.700710,5.000000,6.000000,2.460000,0.000000
"2020-06-16 18:05:43.999 +0000",1592330743.999282,42.109869,-75.954474,261.818325,5.000000,6.000000,2.460000,0.000000
"2020-06-16 18:05:44.999 +0000",1592330744.999272,42.109891,-75.954473,261.626736,5.000000,6.000000,2.460000,357.539062
"2020-06-16 18:05:45.999 +0000",1592330745.999260,42.109911,-75.954468,262.003506,5.000000,6.000000,2.460000,10.898438
"2020-06-16 18:05:46.999 +0000",1592330746.999251,42.109931,-75.954460,262.112026,5.000000,6.000000,2.460000,7.031250
"2020-06-16 18:05:47.999 +0000",1592330747.999240,42.109952,-75.954453,263.217739,5.000000,6.000000,2.360000,354.726562
"2020-06-16 18:05:48.999 +0000",1592330748.999231,42.109973,-75.954449,263.289394,5.000000,6.000000,2.360000,354.726562
"2020-06-16 18:05:49.999 +0000",1592330749.999219,42.109992,-75.954451,262.226467,5.000000,6.000000,2.360000,352.617188
"2020-06-16 18:05:50.999 +0000",1592330750.999209,42.110010,-75.954456,262.181484,10.000000,6.000000,2.010000,350.156250
"2020-06-16 18:05:51.999 +0000",1592330751.999199,42.110030,-75.954460,261.987026,5.000000,6.000000,2.010000,351.210938
"2020-06-16 18:05:52.999 +0000",1592330752.999189,42.110053,-75.954463,261.999844,5.000000,6.000000,2.360000,354.726562
"2020-06-16 18:05:53.999 +0000",1592330753.999178,42.110077,-75.954464,262.873623,5.000000,6.000000,2.370000,355.781250
"2020-06-16 18:05:54.999 +0000",1592330754.999167,42.110100,-75.954462,262.695217,5.000000,6.000000,2.360000,356.835938
"2020-06-16 18:05:55.999 +0000",1592330755.999157,42.110122,-75.954460,262.704311,5.000000,6.000000,2.350000,358.945312
"2020-06-16 18:05:56.999 +0000",1592330756.999147,42.110144,-75.954462,264.012783,5.000000,6.000000,2.350000,358.945312
